food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,Match_source,SBERT_score,SBERT_match_name,NOVA_step4,NOVA_final
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,SBERT,0.6937287,baby pure fruit juice rtd,4,4
scotch pancake/drop scone,Scotch pancake/drop scone,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.5009548947715398,,SBERT,0.70102537,scotch pancakes,3,3
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,Keyword,,,,4.0
yoplait frubes/wildlife choobs,Yoplait Frubes/Wildlife Choobs,Low fat yoghurt/fromage frais,,,,0.7627054654831756,,SBERT,0.7077041,yoplait childrens fromage frais yogurts with added vitamin d eg yoplait frubes and wildlife choobs,4,4
iced biscuit eg iced gems,Iced biscuit (e.g. iced gems),Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
cherry tomatoes,Cherry tomatoes,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7897512336806207,,SBERT,0.669894,tomatoes cherry raw not standard tomatoes,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
ham sandwich with wholemeal/oatmeal bread,Ham sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.6129735580878538,,SBERT,0.7060721,oatmeal bread,4,4
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
porridge made with semi skimmed milk,"Porridge, made with semi skimmed milk","Other breakfast cereals: muesli, bran flakes",,,,0.8319528857246238,,SBERT,0.9016145,porridge made with 1 2 skimmed milk 1 2 water,4,4
mini sweetcorn babycorn raw,"Mini sweetcorn (babycorn), raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,Keyword,,,,1.0
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,Keyword,,,,4.0
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
chocolate squares/pillows breakfast cereal supermarket brands,"Chocolate squares/pillows, breakfast cereal, supermarket brands","Other breakfast cereals: muesli, bran flakes",4.0,dessert/snack item,,,,Keyword,,,,4.0
strawberries,Strawberries,Fresh fruit,1.0,raw,,,,Keyword,,,,1.0
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
salami,Salami,Sausages,,,4,1.0,salami,TF-IDF,,,,4
pasta with a vegetable based sauce,Pasta with a vegetable based sauce,Non meat based pasta dishes,,,,0.7754775573690791,,SBERT,0.89545035,vegetable pasta in a creamy tomato sauce,3,3
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
nestle shreddies,Nestle Shreddies,"Other breakfast cereals: muesli, bran flakes",,,,0.8127879588257231,,SBERT,0.7865926,nestle coco shreddies,4,4
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
raspberries,Raspberries,Fresh fruit,,,,0.8474947318762439,,SBERT,0.81220496,dried raspberries,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
belvita soft bakes breakfast biscuits,Belvita soft bakes (breakfast biscuits),"Breakfast alternatives: nutrigrain bar, pop tart, breakfast cereal bars",4.0,snack item,,,,Keyword,,,,4.0
white rice eg longgrain including easycook,"White rice, e.g. long-grain (including easy-cook)",Rice,,,,0.6331687447643033,,SBERT,0.7122928,brown easycook italian american rice raw,3,3
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,,,0.5933606529621273,,SBERT,0.8634304,oat bran uncooked,1,1
chicken curry home made,Chicken curry home made,Chicken/Turkey dishes,3.0,homemade item,,,,Keyword,,,,3.0
apple/pear juice concentrate undiluted unsweetened,"Apple/pear juice concentrate (undiluted), unsweetened",Fruit juices e.g. fresh orange juice,,,4,0.8783868741338667,apple pear juice concentrate unsweetened,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6947469702111506,,SBERT,0.78620106,carrots raw,1,1
toast white bread,"Toast, white bread",White bread/rolls,,,,0.6543627705315798,,SBERT,0.9340069,bread white toasted,4,4
fruit in jelly readytoeat eg dole hartleys,"Fruit in jelly, ready-to-eat (e.g. Dole, Hartleys)","Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,,,0.583551659337922,,SBERT,0.6932999,jelly tots fruit pastilles,4,4
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
passata strained tomatoes,Passata (strained tomatoes),"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.5698452685795453,,SBERT,0.6115284,macaroni tomatoes and beef baby food strained,4,4
oaty biscuit eg hob nob,Oaty biscuit (e.g. Hob nob),Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
double cream,Double cream,"Cream: single, double whipping & sterilised canned cream (excludes artificial creams & toppings)",,,1,1.0,cream double,TF-IDF,,,,1
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,Keyword,,,,4.0
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,,,0.6507572659192971,,SBERT,0.8862506,childrens chewable vitamins a c d e,NC,NC
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,,,0.6788262097401082,,SBERT,0.78615916,peas from fresh creamed,1,1
milk 1% fat,Milk 1% fat,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.5816980450309026,,SBERT,0.7354267,one percent 1 milk uht,1,1
potatoes,Potatoes,Other potatoes,,,,0.5271024434095937,,SBERT,0.7344325,bread potato,4,4
white grapes,White Grapes,Fresh fruit,,,,0.5770043730092502,,SBERT,0.7309208,grape nuts,4,4
roast/grilled turkey breast,Roast/grilled turkey breast,Chicken/Turkey dishes,,,,0.7894084435556187,,SBERT,0.7879592,turkey roast roll turkey breast roast,4,4
soft cheese fullfat eg philadelphia,"Soft cheese, full-fat (e.g. Philadelphia)",Processed cheese,,,,0.6602134382278845,,SBERT,0.9508672,cheese soft full fat eg philadelphia,4,4
apple juice drink ready to drink no added sugar,"Apple juice drink, ready to drink, no added sugar","Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,,,0.5844156393135833,,SBERT,0.738622,apple juice drink carbonated low calorie,4,4
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
baked potato / jacket potato skin eaten,"Baked potato / jacket potato, skin eaten",Jacket potatoes: baked in skins,,,,0.6004145822829121,,SBERT,0.8112763,potatoes old baked flesh skin,1,1
rice cake,Rice cake,"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,,,0.6442835582359573,,SBERT,0.8902688,puffed rice cake,4,4
cauliflower cooked,"Cauliflower, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7377170258560041,,SBERT,0.8860513,cauliflower fresh boiled,4,4
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,,,0.6788262097401082,,SBERT,0.78615916,peas from fresh creamed,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,,,0.6788262097401082,,SBERT,0.78615916,peas from fresh creamed,1,1
gravy,Gravy,Gravy,,,,0.804353554695681,,SBERT,0.85891515,chocolate gravy,2,2
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed,,,,Keyword,,,,3.0
chocolate coated biscuit eg rocky bar club breakaway,"Chocolate coated biscuit (e.g. Rocky bar, Club, Breakaway)","Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",4.0,snack item,,,,Keyword,,,,4.0
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
gravy,Gravy,Gravy,,,,0.804353554695681,,SBERT,0.85891515,chocolate gravy,2,2
minced beef stewed,"Minced beef, stewed",Beef and beef dishes,,,4,0.8603693703528572,beef minced stewed lean fat,TF-IDF,,,,4
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6947469702111506,,SBERT,0.78620106,carrots raw,1,1
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
weetabix / wheat biscuits,Weetabix / Wheat biscuits,"Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,Keyword,,,,4.0
carrots raw,"Carrots, raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,Keyword,,,,1.0
brussels sprouts cooked,"Brussels sprouts, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,1,0.8667461660905713,brussels sprouts raw,TF-IDF,,,,1
milk 1% fat,Milk 1% fat,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.5816980450309026,,SBERT,0.7354267,one percent 1 milk uht,1,1
weetabix / wheat biscuits,Weetabix / Wheat biscuits,"Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,Keyword,,,,4.0
toast white bread,"Toast, white bread",White bread/rolls,,,,0.6543627705315798,,SBERT,0.9340069,bread white toasted,4,4
chocolate sponge cake with no filling,Chocolate sponge cake with no filling,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.7754852665303048,,SBERT,0.8224654,sponge cake with fat no filling no icing purchased,4,4
apple juice,Apple juice,Fruit juices e.g. fresh orange juice,,,1,1.0000000000000002,apple juice,TF-IDF,,,,1
cheese and tomato pizza eg margherita,Cheese and tomato pizza (e.g. Margherita),Pizza,,,,0.5127958927311378,,SBERT,0.6921035,pizza with cheese and extra vegetables regular crust,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
bagel white,"Bagel, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.8342287508719195,,SBERT,0.7872112,bagel,4,4
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,,,0.6788262097401082,,SBERT,0.78615916,peas from fresh creamed,1,1
roast/grilled turkey breast,Roast/grilled turkey breast,Chicken/Turkey dishes,,,,0.7894084435556187,,SBERT,0.7879592,turkey roast roll turkey breast roast,4,4
mixed leaf salad no dressing,"Mixed leaf salad, no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,1,0.8542476461082669,mixed leaf salad,TF-IDF,,,,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
oat milk/drink flavoured eg alpro chocolate,"Oat milk/drink, flavoured (e.g. Alpro chocolate)","Whole milks: includes longlife whole, dried whole & any soya or goats milk",4.0,instant/flavoured,,,,Keyword,,,,4.0
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,Keyword,,,,4.0
oven chips,Oven chips,Oven chips,,,,0.7292925211576464,,SBERT,0.75998354,vegetable chips,4,4
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
custard ready to serve,"Custard, ready to serve","Milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. rice pudding, semolina, blancmange, custard, trifles",,,4,0.9427687388307862,custard ready to serve canned,TF-IDF,,,,4
roast potatoes cooked from frozen eg aunt bessies,"Roast potatoes, cooked from frozen (e.g. Aunt Bessies)",Roast potatoes,,,,0.5843017278946463,,SBERT,0.86158144,roast potatoes frozen in a light batter baked e g aunt bessie,4,4
skimmed milk,Skimmed milk,Skimmed milks: includes dried and longlife skimmed,,,,0.7624876786767467,,SBERT,0.8204789,instant whip skimmed milk,4,4
bagel white,"Bagel, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.8342287508719195,,SBERT,0.7872112,bagel,4,4
weetabix / wheat biscuits,Weetabix / Wheat biscuits,"Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,Keyword,,,,4.0
peanut butter smooth,"Peanut butter, smooth",Nuts,,,,0.7885967041332569,,SBERT,0.83113015,peanut butter smooth not wholenut,4,4
soft cheese fullfat eg philadelphia,"Soft cheese, full-fat (e.g. Philadelphia)",Processed cheese,,,,0.6602134382278845,,SBERT,0.9508672,cheese soft full fat eg philadelphia,4,4
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
vegetarian pie/pasty cheese & vegetables,"Vegetarian pie/pasty, cheese & vegetables",Non meat containing savoury pies and pastries,,,,0.5226524328786739,,SBERT,0.736511,vegetarian pot pie,2,2
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6947469702111506,,SBERT,0.78620106,carrots raw,1,1
