Descriptionen,Descriptionen_clean,NOVA_keyword,Keyword_reason,NOVA_tfidf,TFIDF_score,TFIDF_match,TFIDF_source,NOVA_sbert,SBERT_score,SBERT_match,SBERT_source,Model_disagree_flag,NOVA_disagree_flag,Decision_flag,NOVA_final,Matched_name,Final_source,Final_reason
Ham sandwich with wholemeal/oatmeal bread,ham sandwich with wholemeal/oatmeal bread,,,,,,,,0.78597736,ham sandwich with spread,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Porridge, made with semi skimmed milk","porridge, made with semi skimmed milk",1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Mini sweetcorn (babycorn), raw","mini sweetcorn (babycorn), raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Chocolate and nut spread (e.g Nutella),chocolate and nut spread (e.g nutella),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Chocolate squares/pillows, breakfast cereal, supermarket brands","chocolate squares/pillows, breakfast cereal, supermarket brands",4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
Strawberries,strawberries,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Salami,salami,,,4,1.0,salami,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Pasta with a vegetable based sauce,pasta with a vegetable based sauce,,,,,,,3,0.91108245,vegetable pasta in a creamy tomato sauce,NDNS,False,False,auto_accept,3,vegetable pasta in a creamy tomato sauce,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Nestle Shreddies,nestle shreddies,4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Raspberries,raspberries,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Belvita soft bakes (breakfast biscuits),belvita soft bakes (breakfast biscuits),,,4,0.883484986692435,belvita soft bakes breakfast biscuits only,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"White rice, e.g. long-grain (including easy-cook)","white rice, e.g. long-grain (including easy-cook)",,,,,,,4,0.8281008,rice white easy cook dried,NDNS,False,False,auto_accept,4,rice white easy cook dried,NDNS,SBERT matched
Oats (uncooked),oats (uncooked),1.0,description: raw cereal: oats (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw cereal: oats (description)
Chicken curry home made,chicken curry home made,3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
"Apple/pear juice concentrate (undiluted), unsweetened","apple/pear juice concentrate (undiluted), unsweetened",,,4,0.8776514901129717,apple pear juice concentrate unsweetened,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Carrots,carrots,,,3,1.0,carrots old boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Toast, white bread","toast, white bread",,,,,,,4,0.96383166,bread white toasted,NDNS,False,False,auto_accept,4,bread white toasted,NDNS,SBERT matched
"Fruit in jelly, ready-to-eat (e.g. Dole, Hartleys)","fruit in jelly, ready-to-eat (e.g. dole, hartleys)",4.0,description: sweet snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: sweet snack
Tangerines / mandarins / clementines/ satsumas,tangerines / mandarins / clementines/ satsumas,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Passata (strained tomatoes),passata (strained tomatoes),,,,,,,,0.6597345,tomatoes raw,,False,False,auto_accept,,,,Unmatched
Oaty biscuit (e.g. Hob nob),oaty biscuit (e.g. hob nob),,,,,,,,0.7740815,oatmeal bread,,False,False,auto_accept,,,,Unmatched
Double cream,double cream,,,1,1.0000000000000002,cream double,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
Chocolate and nut spread (e.g Nutella),chocolate and nut spread (e.g nutella),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel","childrens' chewable vitamins with vitamin a (200ug), c (40mg), d (7.5ug), e (6mg), pastel",,,,,,,NC,0.9093065,childrens chewable vitamins a c d e,NDNS,False,False,auto_accept,NC,childrens chewable vitamins a c d e,NDNS,SBERT matched
Peas,peas,,,3,1.0,peas chick boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Milk 1% fat,milk 1% fat,1.0,group: milk (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: milk (group)
Potatoes,potatoes,,,1,1.0,potatoes old boiled,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
White Grapes,white grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Roast/grilled turkey breast,roast/grilled turkey breast,,,4,0.8629652244355652,turkey roast roll turkey breast roast,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Soft cheese, full-fat (e.g. Philadelphia)","soft cheese, full-fat (e.g. philadelphia)",,,4,1.0,cheese soft full fat eg philadelphia,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Apple juice drink, ready to drink, no added sugar","apple juice drink, ready to drink, no added sugar",,,,,,,1,0.80437106,apple juice,Giulia,False,False,auto_accept,1,apple juice,Giulia,SBERT matched
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Baked potato / jacket potato, skin eaten","baked potato / jacket potato, skin eaten",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Rice cake,rice cake,,,,,,,4,0.9064038,puffed rice cake,Giulia,False,False,auto_accept,4,puffed rice cake,Giulia,SBERT matched
"Cauliflower, cooked","cauliflower, cooked",,,,,,,1,0.9120004,cauliflower cooked from fresh fat added in cooking,Giulia,False,False,auto_accept,1,cauliflower cooked from fresh fat added in cooking,Giulia,SBERT matched
Peas,peas,,,3,1.0,peas chick boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Peas,peas,,,3,1.0,peas chick boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Gravy,gravy,,,4,1.0,gravy poultry,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Broccoli, boiled","broccoli, boiled",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Chocolate coated biscuit (e.g. Rocky bar, Club, Breakaway)","chocolate coated biscuit (e.g. rocky bar, club, breakaway)",,,,,,,4,0.81229293,chocolate crisp biscuit bar,NDNS,False,False,auto_accept,4,chocolate crisp biscuit bar,NDNS,SBERT matched
"Butter, salted","butter, salted",3.0,group: culinary fat/oil (group),,,,,,,,,False,False,auto_accept,3.0,,keyword,group: culinary fat/oil (group)
Gravy,gravy,,,4,1.0,gravy poultry,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Minced beef, stewed","minced beef, stewed",,,3,0.907720617724376,beef minced stewed fat skimmed,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Carrots,carrots,,,3,1.0,carrots old boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Weetabix / Wheat biscuits,weetabix / wheat biscuits,4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
"Brussels sprouts, cooked","brussels sprouts, cooked",,,1,0.919267858120961,brussels sprouts raw,Giulia,,,,,False,False,auto_accept,1,,Giulia,TF-IDF matched
Milk 1% fat,milk 1% fat,1.0,group: milk (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: milk (group)
Weetabix / Wheat biscuits,weetabix / wheat biscuits,4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
"Toast, white bread","toast, white bread",,,,,,,4,0.96383166,bread white toasted,NDNS,False,False,auto_accept,4,bread white toasted,NDNS,SBERT matched
Chocolate sponge cake with no filling,chocolate sponge cake with no filling,,,4,0.8969435660849031,sponge cake with margarine jam filling homemade,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Apple juice,apple juice,,,1,1.0,apple juice,Giulia,,,,,False,False,auto_accept,1,,Giulia,TF-IDF matched
Cheese and tomato pizza (e.g. Margherita),cheese and tomato pizza (e.g. margherita),,,,,,,,0.76612186,pizza with triple cheese or cheese feast with or without tomato with any base retail,,False,False,auto_accept,,,,Unmatched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Bagel, white","bagel, white",,,4,0.8820054710045775,bagel,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
Peas,peas,,,3,1.0,peas chick boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Roast/grilled turkey breast,roast/grilled turkey breast,,,4,0.8629652244355652,turkey roast roll turkey breast roast,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Mixed leaf salad, no dressing","mixed leaf salad, no dressing",,,,,,,1,0.87426615,mixed leaf salad,NDNS,False,False,auto_accept,1,mixed leaf salad,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Oat milk/drink, flavoured (e.g. Alpro chocolate)","oat milk/drink, flavoured (e.g. alpro chocolate)",,,,,,,,0.73749554,oat based milk alternative fortified,,False,False,auto_accept,,,,Unmatched
Chocolate and nut spread (e.g Nutella),chocolate and nut spread (e.g nutella),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
Oven chips,oven chips,,,,,,,4,0.8125655,potato chips oven ready baked,NDNS,False,False,auto_accept,4,potato chips oven ready baked,NDNS,SBERT matched
"Butter, salted","butter, salted",3.0,group: culinary fat/oil (group),,,,,,,,,False,False,auto_accept,3.0,,keyword,group: culinary fat/oil (group)
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Custard, ready to serve","custard, ready to serve",,,4,0.9161093661003534,custard ready to serve canned,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Roast potatoes, cooked from frozen (e.g. Aunt Bessies)","roast potatoes, cooked from frozen (e.g. aunt bessies)",,,,,,,4,0.9062557,roast potatoes frozen in a light batter baked e g aunt bessie,NDNS,False,False,auto_accept,4,roast potatoes frozen in a light batter baked e g aunt bessie,NDNS,SBERT matched
Skimmed milk,skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Bagel, white","bagel, white",,,4,0.8820054710045775,bagel,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
Weetabix / Wheat biscuits,weetabix / wheat biscuits,4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
"Peanut butter, smooth","peanut butter, smooth",,,4,0.9101411813143904,peanut butter smooth not wholenut,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Soft cheese, full-fat (e.g. Philadelphia)","soft cheese, full-fat (e.g. philadelphia)",,,4,1.0,cheese soft full fat eg philadelphia,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Vegetarian pie/pasty, cheese & vegetables","vegetarian pie/pasty, cheese & vegetables",,,,,,,2,0.8170958,vegetarian pot pie,Giulia,False,False,auto_accept,2,vegetarian pot pie,Giulia,SBERT matched
Tangerines / mandarins / clementines/ satsumas,tangerines / mandarins / clementines/ satsumas,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Carrots,carrots,,,3,1.0,carrots old boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Lemonade (including cloudy varieties),lemonade (including cloudy varieties),,,,,,,,0.75135446,fruit flavored drink formerly lemonade,,False,False,auto_accept,,,,Unmatched
Cheesecake with fruit,cheesecake with fruit,,,3,1.0,cheesecake with fruit,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Gravy,gravy,,,4,1.0,gravy poultry,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Apple/pear juice concentrate (undiluted), unsweetened","apple/pear juice concentrate (undiluted), unsweetened",,,4,0.8776514901129717,apple pear juice concentrate unsweetened,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Blueberries / bilberries,blueberries / bilberries,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
